symbol,output_size,window_size,data_mode,n_estimators,criterion,min_samples_leaf,max_depth,max_string_lenght:,val_score,test_score,balance_score
AAPL,3,7,2,5,gini,5,10,20000,0.4090909090909091,0.5666666666666667,0.5961538461538461
AAPL,3,7,2,5,gini,5,9,20000,0.4090909090909091,0.55,0.5192307692307693
AAPL,3,3,2,5,entropy,5,4,20000,0.4090909090909091,0.4,0.4423076923076923
GOOGL,7,3,2,5,gini,5,9,10000,0.4090909090909091,0.44642857142857145,0.48
AAPL,3,7,2,5,gini,5,1,20000,0.4090909090909091,0.5333333333333333,0.5384615384615384
AMZN,3,7,2,5,gini,5,3,500,0.4090909090909091,0.48333333333333334,0.46296296296296297
TSLA,3,7,2,100,entropy,5,5,1000,0.4090909090909091,0.6,0.603448275862069
TSLA,3,3,2,5,entropy,5,5,20000,0.4090909090909091,0.45,0.4482758620689655
AMZN,7,3,2,5,gini,5,10,500,0.4090909090909091,0.5178571428571429,0.5185185185185185
AAPL,3,3,2,10,gini,5,6,500,0.4090909090909091,0.5166666666666667,0.5384615384615384
TSLA,3,3,2,5,entropy,5,7,20000,0.4090909090909091,0.5666666666666667,0.5517241379310345
GOOGL,3,7,2,100,entropy,5,2,10000,0.4090909090909091,0.4666666666666667,0.5384615384615384
AMZN,3,7,2,5,gini,5,3,20000,0.4090909090909091,0.43333333333333335,0.3888888888888889
GOOGL,7,3,2,5,gini,5,6,10000,0.4090909090909091,0.4642857142857143,0.46
AAPL,3,3,2,10,gini,5,2,500,0.4090909090909091,0.4166666666666667,0.4423076923076923
AAPL,3,7,2,5,entropy,5,2,500,0.4090909090909091,0.55,0.5769230769230769
TSLA,3,7,2,100,entropy,5,10,1000,0.4090909090909091,0.6833333333333333,0.6724137931034483
AMZN,3,3,2,10,entropy,5,6,20000,0.4090909090909091,0.4,0.3888888888888889
AMZN,7,3,2,10,gini,5,8,500,0.4090909090909091,0.5714285714285714,0.5740740740740741
TSLA,3,14,2,100,entropy,5,7,1000,0.4090909090909091,0.6,0.603448275862069
AAPL,3,14,2,10,entropy,5,1,10000,0.4090909090909091,0.5666666666666667,0.5961538461538461
AAPL,3,14,2,5,gini,5,9,500,0.4090909090909091,0.5666666666666667,0.5192307692307693
TSLA,3,14,2,100,gini,5,10,1000,0.4090909090909091,0.6333333333333333,0.6206896551724138
