,date,4. close,1. open,2. high,3. low,6. volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO
35,1999-12-21,102.5,98.19,103.06,97.94,2746400.0,100.799,100.81413005120156,102.252,99.91895937501386,98.41766666666666,96.65095913531282,,,,,,,99.44785185185185,55.66798948206698,3.316154072751317,-2.4353054422511473,5.751459515002464,16.794275227711505,13.668424029920692,-57.53526354862658,-10.261299667210844,-15.310000000000002,2.2090434350738803,-2.910956564926124,95.30507065141182,99.162,103.01892934858819,7.779047111974711,0.9327276569405996,56.81262149869665,1,1,1,1,1,1,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0
36,1999-12-22,99.94,102.87,104.56,98.75,2920300.0,99.787,100.65519731461946,102.6085,99.92096324406016,98.76166666666667,96.86315532013136,,,,,,,100.73355555555554,51.99830325401696,2.995862578337679,-2.2044775493318287,5.200340127669508,16.191450319174166,15.180078419516528,-67.03786191536749,-17.044379980854902,-10.120000000000005,3.839180087206188,-1.9708199127938144,96.5503500191426,99.75,102.9496499808574,6.415338307483512,0.5296907476031306,54.85005789085079,1,-1,-1,1,1,1,0,0,0,0,0,0,1.0,0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0
37,1999-12-23,103.5,101.81,104.25,101.06,2049400.0,99.61200000000001,101.17243416650683,103.049,100.261823887483,99.16366666666666,97.29133884786482,,,,,,,102.20288888888888,56.31137324239605,2.9947696687163017,-1.7644563671625653,4.759226035878867,21.480137314246992,18.155287620377553,-53.82331106161842,-0.8423474786073907,-1.75,3.1321543604624367,-0.057845639537561055,96.84857059969332,100.788,104.72742940030668,7.817258801259434,0.8442122861484557,61.32157981069468,1,1,1,1,1,1,0,0,0,0,0,0,-1.0,0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0
38,1999-12-27,99.31,104.37,104.44,99.25,1503500.0,99.24300000000001,100.8338097725965,103.2615,100.17117399343701,99.39900000000002,97.42157505122839,,,,,,,102.16744444444443,50.553883793353386,2.625539956976297,-1.7069488631220562,4.332488820098353,17.263933735808827,18.311840456409996,-69.37639198218262,-29.651400323850744,-3.6899999999999977,3.5804180232535003,-1.6095819767464974,96.56420020069503,100.65,104.73579979930498,8.11882722166911,0.3360174181529959,50.40040271363743,1,-1,-1,-1,-1,1,0,0,0,0,0,0,1.0,0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0
39,1999-12-28,98.19,99.12,99.62,95.0,2210500.0,99.162,100.35311708666984,103.44300000000001,99.98249075596682,99.65133333333333,97.47115085437494,,,,,,,100.88281481481481,49.108502574765886,2.216992006673152,-1.6923974507401613,3.9093894574133135,16.9335960136092,18.559222354555008,-73.40544572920552,-75.25544577601266,-0.8100000000000023,-0.8582131229255765,-5.478213122925581,96.69910742185245,100.688,104.67689257814756,7.923273037795083,0.18688051244036294,47.83440492233786,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0
40,1999-12-29,100.69,96.81,102.19,95.5,2540200.0,99.744,100.41436852545714,103.58399999999999,100.04987258873189,100.02633333333333,97.67881854118947,,,,,,,99.97322222222222,52.381250365111676,2.071069914479253,-1.4706556343472488,3.5417255488265016,23.44698371719294,19.214837822203652,-51.705115346038134,-50.939525795079,5.819999999999993,1.6815316089209205,-5.008468391079077,96.753827551755,100.326,103.89817244824499,7.121130012648763,0.5509493879808122,53.45571955499771,1,1,-1,1,1,1,0,0,0,0,0,0,-1.0,0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
41,1999-12-30,100.31,102.19,104.12,99.62,1849500.0,100.075,100.39539242991947,103.44649999999999,100.07464662790028,100.33033333333333,97.84857218369338,,,,,,,99.57303703703703,51.83558848714521,1.9028281623104704,-1.3111179092128253,3.2139460715232957,37.87936607342717,26.086648601409774,-49.14788345244639,-25.449450067595738,3.3100000000000023,3.639884236217938,-0.860115763782062,96.84760362571959,100.4,103.95239637428043,7.076486801355418,0.4873324946715393,50.93402512499284,1,-1,-1,1,-1,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
42,1999-12-31,102.81,100.94,102.87,99.5,1462600.0,100.525,100.83441198811593,103.07750000000001,100.33515647286215,100.74900000000001,98.16866430087447,,,,,,,100.57137037037039,55.14605709291269,1.9487603717245605,-1.0121485598389883,2.960908931563549,62.81898407926875,41.38177795662963,-12.962962962962965,-17.715866402875488,4.5,2.057043631043939,-1.3129563689560655,97.1794971208447,100.262,103.3445028791553,6.148895651703137,0.9133005060968884,51.471357063172725,1,1,-1,1,1,1,0,0,0,0,0,0,0.0,0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0
43,2000-01-03,111.94,104.87,112.5,101.69,4783900.0,101.71900000000001,102.85360980845849,102.9245,101.4403796659229,101.493,99.0571375717858,,,,,,,104.66807407407407,64.69083997446805,2.6908581383968624,-0.21604063453334943,2.906898772930212,81.11680688355813,60.60505234541802,-2.6119402985074758,86.63729273948933,11.939999999999998,10.097465969466228,-0.7125340305337744,93.17786867935715,102.78800000000001,112.39813132064288,18.698936297316543,0.9761641487843773,63.96898888233909,1,1,1,1,1,1,0,0,0,0,0,0,0.0,0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0
44,2000-01-04,102.5,108.25,110.62,101.19,4574800.0,102.16900000000001,102.78931711601149,102.2495,101.54129588821596,101.82833333333333,99.27925772844479,,,,,,,106.68988888888889,52.29879431689695,2.48856028449741,-0.3346707907462414,2.8232310752436516,70.23651301894124,71.39076799392271,-46.64179104477613,42.7644886956447,4.5,8.203542259542488,-1.2264577404575192,95.13322126622977,103.65,112.16677873377024,16.43372645204098,0.43248621128079257,54.52705346503213,1,-1,1,1,1,1,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
