,date,4. close,1. open,2. high,3. low,6. volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO
4367,2017-03-13,64.71,65.01,65.195,64.57,20100035.0,64.521,64.6057428875079,64.5245,64.42930403686108,64.30566666666667,64.2175319522125,63.7654,63.689877836897516,62.2075,62.18583801951431,58.71280000000001,59.55317704508847,64.97125925925924,55.05091336216117,0.26333360061141775,-0.0063311991574246385,0.2696647997688424,62.788403800416255,66.95449798086737,-33.5365853658542,104.50213467453553,0.47999999999998977,0.6413093245741237,0.016309324574123707,64.33777300905561,64.752,65.16622699094438,1.2794260901420356,0.44930315875331195,55.76986648186858,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
4368,2017-03-14,64.41,64.53,64.55,64.15,14280202.0,64.564,64.57015327159738,64.509,64.42746555716003,64.28166666666667,64.22994924561814,63.79559999999999,63.71811792172507,62.275,62.229880831009076,58.7754,59.60150364165475,64.81577777777777,51.382143009422016,0.23100472669095495,-0.03092805846230995,0.2619327851532649,48.31823476690681,62.317341166118446,-51.8292682926832,-34.8227484667063,0.4299999999999997,0.016836563920676895,-0.3831634360793146,64.34654938946318,64.754,65.16145061053683,1.2584569618458386,0.07786294693879707,51.89892630947856,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
4369,2017-03-15,64.75,64.55,64.92,64.25,24833810.0,64.545,64.60285267676149,64.518,64.45818312314479,64.285,64.26350090719117,63.8478,63.758583885578986,62.3472,62.27978418089008,58.83755,59.65273246114078,64.69774074074074,55.03920503492924,0.23016581149182969,-0.025413578929148195,0.2555793904209779,39.39719588389079,50.16794481707124,-31.097560975609927,44.93539652838018,-0.18999999999999773,0.3558599119320007,-0.314140088068001,64.37095373449802,64.706,65.04104626550199,1.0355956650140228,0.5656625733972492,53.03288713354791,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0
4370,2017-03-16,64.64,64.75,64.76,64.3,20674296.0,64.608,64.60960673553213,64.5235,64.47549901617862,64.32033333333334,64.28779117124336,63.889,63.79314922339942,62.4211,62.32652112780315,58.89575,59.702357013766246,64.61803703703703,53.63357284345983,0.21811064076327114,-0.029974999726165408,0.24808564048943654,34.92160946559716,40.87901337213154,-37.80487804878059,20.51248293050076,0.6299999999999955,0.18502278165600217,-0.2749772183440058,64.35038483442413,64.688,65.02561516557587,1.0438262601282124,0.42891314595105884,55.31374924657361,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
4371,2017-03-17,64.87,64.91,65.24,64.68,49219686.0,64.67,64.65695096543537,64.54100000000001,64.51307053844732,64.377,64.32535303116315,63.9404,63.835378665619054,62.4732,62.37688704606447,58.95585,59.7537763469626,64.67418518518518,56.154961706213044,0.22452769343162515,-0.018846357646249146,0.2433740510778743,49.9929083203765,41.437237889954766,-23.78048780487797,124.25754862502882,0.6200000000000045,0.6228766699908448,0.06287666999085673,64.37094918451704,64.676,64.98105081548296,0.943319981084041,0.8179798088604703,49.94972503118538,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
4372,2017-03-20,64.93,64.91,65.175,64.72,14598083.0,64.73600000000002,64.70659624444713,64.5565,64.55277810621425,64.41866666666667,64.3643625130236,63.992999999999995,63.87830499245752,62.5125,62.427443738221605,59.0181,59.80528105992815,64.7982962962963,56.814712783998246,0.23178290343183505,-0.009272918116831397,0.24105582154866645,55.599492103495464,46.83800329648966,-20.121951219512002,112.32703630732009,0.6600000000000108,0.5131800028492961,0.05818000284929781,64.3512182216719,64.72,65.0887817783281,1.1396223063291073,0.7847212258589067,51.197884918524664,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
4373,2017-03-21,64.21,65.19,65.5,64.13,26640480.0,64.717,64.616306018184,64.54249999999999,64.52013257228909,64.43766666666667,64.35440364121563,64.0204,63.89131263981213,62.544700000000006,62.462741882019195,59.080200000000005,59.849109109083095,64.70018518518519,47.5652703539591,0.17738988672621758,-0.05093274785795912,0.2283226345841767,43.06868721162689,49.55369587849956,-68.61702127659599,23.097533000873515,-0.19000000000001194,0.9027257167279714,-0.46727428327203313,64.16931418658159,64.67999999999999,65.1906858134184,1.5791150693209808,0.039834485655735614,41.39060291877167,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1.0,0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0
4374,2017-03-22,65.03,64.12,65.14,64.12,20680015.0,64.72099999999999,64.69152310578691,64.576,64.56869137492822,64.491,64.39799050307269,64.0682,63.93596704609401,62.588699999999996,62.513578676434655,59.1447,59.900660262226545,64.72155555555555,56.292505688989785,0.19816584358960654,-0.024125432795656127,0.22229127638526266,47.609890483154,48.759356599425395,-24.9999999999999,58.273789538784015,0.04000000000000625,0.48090775719539636,-0.5390922428045997,64.15090513587381,64.736,65.3210948641262,1.8076336632667782,0.7512413097652727,50.81248272765491,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
4375,2017-03-23,64.87,64.94,65.235,64.765,19269203.0,64.735,64.72397345018929,64.5885,64.59738743445887,64.542,64.4284427286809,64.11319999999999,63.97259578938444,62.6364,62.56024048482209,59.208549999999995,59.950106428771555,64.76611111111112,54.39024732924662,0.19942146969523833,-0.018295845352019474,0.2177173150472578,44.611187115391665,45.096588270057474,-37.27810650887552,99.77410411298104,0.14000000000000057,0.5457780775960401,0.07577807759604127,64.1981644066804,64.78200000000001,65.36583559331962,1.802462391774275,0.5753636820081819,48.30129323140248,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
4376,2017-03-24,64.98,65.36,65.45,64.76,22617105.0,64.74,64.77052373197306,64.60650000000001,64.63382672641517,64.57266666666666,64.46402706876601,64.149,64.01210183685957,62.6875,62.60815651482561,59.27325,60.00015512102259,64.88433333333333,55.50352103880664,0.2069075417757631,-0.008647818617195768,0.21555536039295886,67.38188877535204,53.20098879129919,-37.68115942028969,113.42843622453925,0.04999999999999716,0.719238352225176,0.029238352225178232,64.20059632083748,64.804,65.40740367916253,1.862242081237348,0.6458393494089026,44.092409099968044,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
